Time_Seconds,Ping_ms,Connected_LEO
0,98.4103113540218,137
10,98.4309643798091,137
20,93.7934201424151,137
30,97.1135108306818,137
40,96.4629259900056,137
50,93.9838055431073,154
60,97.8296022660487,154
70,93.4508436726594,154
80,95.3886542464989,154
90,96.7277530770952,154
100,97.8247749513643,78
110,96.9899570114196,78
120,96.3181253874981,78
130,95.2494454297379,78
140,95.8572886554812,78
150,94.5868405128397,78
160,93.0041485034036,78
170,93.566701038377,78
180,93.7240463834092,248
190,98.4557507783646,248
200,94.2796787783036,248
210,96.565292494684,231
220,98.5132728454877,231
230,97.7851544985373,231
240,97.0079912878532,231
250,96.0680879976111,231
260,97.2917077223242,231
270,95.1422019014713,61
280,95.6975022349407,61
290,95.9141599684841,61
300,100.170151111535,61
310,98.0806574313151,61
320,96.0631778692921,61
330,93.1446579619101,61
340,95.0501905468823,61
350,96.238606086073,61
360,96.0648905429964,61
370,95.548992263955,61
380,99.1425938345474,317
390,99.0074887870701,317
400,96.5393429265296,317
410,96.4926646962241,317
420,94.6441988158379,317
430,96.3631211870645,317
440,94.4622980883426,317
450,97.0818780169226,317
460,94.5829647108365,317
470,95.5132625063637,317
480,93.5144216313267,17
490,95.8709900506274,17
500,96.9884258430162,17
510,99.816799545599,17
520,94.290122078055,17
530,94.3437482751656,17
540,97.5904350130923,17
550,97.4948248511573,17
560,94.4023181956453,17
570,98.1219327577343,17
580,96.150142267406,93
590,95.153373915737,93
600,96.9017763086763,93
610,96.7126933543663,93
620,96.4817566919332,93
630,95.3079182497727,93
640,97.4349739549352,93
650,94.9920907113937,93
660,98.9200064936677,93
670,96.5664894899027,93
680,94.3369792084731,93
690,95.3612914306546,93
700,98.5974114453161,93
710,93.6022780437035,93
720,95.4788435856646,93
730,95.2280333389682,93
740,96.3934244703905,76
750,98.3541487755471,76
760,94.7525756176049,76
770,96.8386615945145,16
780,93.5905637063601,16
790,94.8032628491625,16
800,95.2368740798612,16
810,94.7773957234618,16
820,96.2024349900318,16
830,97.5449777994328,16
840,96.515264242859,16
850,98.4337423761427,16
860,93.7119194756984,16
870,97.8721975453728,16
880,98.198892066824,16
890,95.9691990112424,16
900,94.9321241739955,16
910,94.119287228029,92
920,96.3973720802059,92
930,94.9430726890545,92
940,93.0699454997386,92
950,96.903928813394,92
960,94.75111708733,92
970,96.3548421270112,92
980,96.7912869322563,92
990,94.0467844634774,92
